batter,clutch,balls
RK Singh,1.10299205314368,1000
B Sai Sudharsan,1.0196559457399417,1707
Rashid Khan,0.9358569718897343,427
A Symonds,0.9092486556328367,781
DJ Bravo,0.8155342276149895,1247
PP Shaw,0.809916703030467,1295
KH Pandya,0.7583883329934906,1522
Sameer Rizvi,0.743816857226193,304
S Sohal,0.7408332675695419,309
TM Head,0.701666921377182,959
HH Pandya,0.6980315149121452,2095
CJ Anderson,0.6883181100711226,436
DPMD Jayawardene,0.6539904708333779,1439
SM Curran,0.643406334304018,743
KP Pietersen,0.5956588909029961,738
ST Jayasuriya,0.5230130674317479,573
LRPL Taylor,0.5213579684204888,847
SA Asnodkar,0.5060713291168213,352
PJ Cummins,0.46043615974485874,437
D Brevis,0.4516633301973343,432
LS Livingstone,0.4424644922837615,718
Abishek Porel,0.34682282991707325,538
VR Iyer,0.32891896084765904,1194
Shashank Singh,0.2655398491478991,588
AJ Finch,0.25339071548660286,1684
Shahbaz Ahmed,0.23575521260499954,516
C Connolly,0.2353694336488843,316
AM Nayar,0.2241748002707027,588
HM Amla,0.2199888378381729,412
A Raghuvanshi,0.20659792516380548,621
JM Sharma,0.20269169694802258,738
Washington Sundar,0.18493862642208114,689
M Vohra,0.1288822628557682,852
TM Dilshan,0.11978460475802422,1041
MP Stoinis,0.10630214042612351,1583
CH Morris,0.09913343194057234,384
RA Jadeja,0.0975250294432044,2803
MK Lomror,0.09169161223690026,389
C Green,0.08105410358984955,700
Gurkeerat Singh,0.05670309902052395,415
R Powell,0.043266473308904096,409
MA Agarwal,-0.013023911975324154,2124
SS Tiwary,-0.016358915658202022,1265
Abdul Samad,-0.01731378203839995,596
MV Boucher,-0.017844785907072946,316
Naman Dhir,-0.049557178310351446,434
AC Gilchrist,-0.10486074443906546,1555
Lalit Yadav,-0.1059580072760582,301
OA Shah,-0.10686702933162451,405
JR Hopes,-0.12660471443086863,307
JEC Franklin,-0.14706050045788288,309
Azhar Mahmood,-0.16474223692785017,311
Nithish Kumar Reddy,-0.17720622941851616,566
N Wadhera,-0.1898802798241377,583
STR Binny,-0.2369870179973077,700
TL Suman,-0.23939251899719238,587
EJG Morgan,-0.24044870122452267,1157
AL Menaria,-0.24598905444145203,367
A Badoni,-0.2597498428367544,850
KK Nair,-0.2779870079830289,1288
P Kumar,-0.30838694237172604,323
WG Jacks,-0.3179924264550209,350
PC Valthaty,-0.332539688795805,432
MS Bisla,-0.3466746136546135,737
Shakib Al Hasan,-0.36528219186584465,663
BB McCullum,-0.3685722555965185,2217
NLTC Perera,-0.3785782428458333,313
MM Ali,-0.421039666980505,865
D Padikkal,-0.4490214195102453,1754
R Dravid,-0.4566596187360119,1918
LMP Simmons,-0.4757482837885618,878
AK Markram,-0.48608768271515146,1262
DJ Hussey,-0.4880689075216651,1100
DP Conway,-0.5043382747098804,766
SC Ganguly,-0.5098574813455343,1318
KV Sharma,-0.5177157875150442,306
SW Billings,-0.5245433822274208,399
CL White,-0.58433791535208,769
GJ Bailey,-0.5860051345371176,506
JP Faulkner,-0.6120066987350583,405
MC Henriques,-0.6132437754422426,768
Ishan Kishan,-0.6536051929288078,2579
M Vijay,-0.6677769935049582,2167
RR Rossouw,-0.7063722489401698,321
SE Rutherford,-0.7488755909726024,377
AR Patel,-0.7561510485247709,1616
CA Pujara,-0.8303590975701809,403
LR Shukla,-0.8360899658873677,324
KS Williamson,-0.9008433660201263,1705
GH Vihari,-0.908365024253726,331
DB Ravi Teja,-0.923593488521874,325
T Stubbs,-0.9256752673827577,630
M Manhas,-0.929800824233098,486
AD Mathews,-0.9669458567223046,596
KM Jadhav,-0.9732488515146542,1000
HH Gibbs,-0.9990919604897499,837
DJ Hooda,-1.0024676639586687,1203
JD Ryder,-1.0965867936611176,466
V Shankar,-1.0983360270038247,957
J Botha,-1.113301420584321,364
A Mishra,-1.1204840838327073,440
Harbhajan Singh,-1.1566656399518251,636
SP Goswami,-1.2090748567134142,307
JJ Roy,-1.2453132132068276,460
Dhruv Jurel,-1.256210969761014,801
PP Chawla,-1.291428995289607,570
IK Pathan,-1.3229395793459844,948
DT Christian,-1.3634154023602605,408
UBT Chand,-1.39912352245301,314
Yuvraj Singh,-1.4043373242311645,2099
WP Saha,-1.4303085869469214,2309
KC Sangakkara,-1.4472578652203083,1389
S Badrinath,-1.4709859480790328,1186
RS Bopara,-1.5476088951982092,431
