batter,season,clutch,balls
AB de Villiers,2009,0.051432862877845764,359
DJ Hooda,2022,0.036946301348507404,340
SK Raina,2019,0.03304928541183472,321
Ishan Kishan,2023,0.027741359546780586,325
S Dhawan,2016,0.015110552310943604,383
RG Sharma,2019,0.010892822407186031,319
Q de Kock,2019,-0.0022721141576766968,404
R Dravid,2011,-0.0024686604738235474,320
RG Sharma,2011,-0.021361902356147766,304
KD Karthik,2013,-0.023957883939146996,422
Mandeep Singh,2012,-0.028097894974052906,349
RG Sharma,2013,-0.02855643816292286,415
G Gambhir,2016,-0.05903887748718262,423
AM Rahane,2012,-0.06546946987509727,448
CA Lynn,2018,-0.06694748997688293,341
SK Raina,2015,-0.07065074145793915,319
F du Plessis,2019,-0.07736276090145111,326
MS Dhoni,2019,-0.10268934816122055,317
JH Kallis,2009/10,-0.10764179937541485,517
S Dhawan,2007/08,-0.10907268151640892,303
BB McCullum,2014,-0.12605223525315523,341
S Dhawan,2011,-0.12686306424438953,315
HH Gibbs,2009,-0.132192000746727,344
Shubman Gill,2020/21,-0.1769322920590639,382
DA Warner,2013,-0.19235961697995663,332
DP Conway,2023,-0.19519475102424622,465
SS Iyer,2019,-0.21058074850589037,397
SC Ganguly,2009/10,-0.2141484823077917,440
V Kohli,2014,-0.22978120855987072,301
SR Tendulkar,2009,-0.24908877909183502,315
RG Sharma,2014,-0.25367526710033417,307
M Vijay,2011,-0.26418834924697876,316
V Kohli,2015,-0.294632812961936,370
V Kohli,2022,-0.294882545247674,306
SK Raina,2013,-0.3198700100183487,370
DPMD Jayawardene,2013,-0.34517962392419577,322
AM Rahane,2016,-0.34778251498937607,340
GC Smith,2007/08,-0.3596949726343155,375
Ishan Kishan,2022,-0.36938513070344925,355
JH Kallis,2009,-0.37428542971611023,349
RR Pant,2020/21,-0.3900477532588411,316
DR Smith,2015,-0.3942638710141182,341
DPMD Jayawardene,2012,-0.4087014440447092,306
Dhruv Jurel,2026,-0.4195098727941513,345
S Dhawan,2022,-0.4230998456478119,395
V Kohli,2021,-0.440097913146019,347
F du Plessis,2022,-0.4518825560808182,377
AC Gilchrist,2011,-0.4915926046669483,309
R Dravid,2012,-0.5434001330286264,424
G Gambhir,2014,-0.608566015958786,301
JH Kallis,2013,-0.6157045289874077,327
V Kohli,2012,-0.6183863021433353,333
JH Kallis,2011,-0.665648091584444,349
AM Rahane,2013,-0.7634880766272545,472
D Padikkal,2022,-0.7680687010288239,317
DA Warner,2023,-0.7688231179490685,406
S Badrinath,2009/10,-0.7853763485036325,310
AT Rayudu,2019,-0.8386493176221848,307
RV Uthappa,2013,-0.841735016554594,385
LMP Simmons,2015,-0.8970341421663761,455
KL Rahul,2022,-0.8975011650472879,472
PA Patel,2017,-0.9327848330140114,308
D Padikkal,2021,-0.9384161531925201,342
MS Dhoni,2015,-0.9471291415684391,309
B Sai Sudharsan,2026,-0.9593829549849033,481
AC Gilchrist,2007/08,-0.9674176722764969,328
JH Kallis,2012,-1.0880592372268438,393
AM Rahane,2017,-1.1554403034970164,328
