bowler,season,clutch,balls
UT Yadav,2012,0.9554796628654003,383
Harbhajan Singh,2011,0.9413708141073585,328
R Vinay Kumar,2013,0.8998841335996985,370
B Kumar,2016,0.8942562229931355,395
Kuldeep Yadav,2025,0.8847240507602692,311
JJ Bumrah,2017,0.8750294838100672,365
MM Sharma,2013,0.8741668639704585,311
SP Narine,2014,0.8689203672111034,386
Rashid Khan,2023,0.8565557971596718,389
A Nortje,2020/21,0.8535063238523435,376
TA Boult,2021,0.7920510396361351,317
A Kumble,2009/10,0.7875945987179875,389
JJ Bumrah,2020/21,0.7819935855804943,372
A Symonds,2009/10,0.7785872649110388,325
Sandeep Sharma,2015,0.7773517817258835,311
YS Chahal,2021,0.7469671443104744,323
K Rabada,2022,0.7407610574737191,303
DJ Bravo,2015,0.7403758075088263,324
SL Malinga,2009/10,0.7349341167137027,310
DJ Bravo,2013,0.729234125406947,392
DL Vettori,2011,0.7217025719583035,312
RA Jadeja,2021,0.6966152125969529,300
Arshdeep Singh,2022,0.6962861493520904,317
UT Yadav,2018,0.692803367972374,331
P Kumar,2016,0.6889745518565178,319
MS Gony,2007/08,0.6847377419471741,347
Rashid Khan,2017,0.6822385611012578,314
B Kumar,2023,0.680749441467924,319
JJ Bumrah,2018,0.6634675888344646,333
SR Watson,2007/08,0.6534395758062601,344
AR Patel,2020/21,0.6529525108635426,308
YS Chahal,2019,0.6485634166747332,306
E Malinga,2026,0.6403651386499405,351
IK Pathan,2007/08,0.6343465419486165,324
CV Varun,2021,0.6320085777260829,416
SL Malinga,2013,0.6255832556344103,402
HV Patel,2021,0.6187343699857593,361
CV Varun,2020/21,0.6153242652944755,313
R Ashwin,2013,0.5935251442715526,354
PP Ojha,2013,0.583708374761045,318
RP Singh,2009,0.5809685969725251,382
R Ashwin,2012,0.5741234309971333,402
Harbhajan Singh,2009/10,0.5732254031754564,334
M Muralitharan,2007/08,0.5624518124386668,345
P Kumar,2012,0.552261596545577,395
PV Tambe,2014,0.5453600669279695,304
PP Ojha,2009/10,0.5384957483038306,360
JH Kallis,2012,0.535838957875967,336
Z Khan,2012,0.5235588150389958,370
NLTC Perera,2013,0.5186588503420353,369
R Ashwin,2023,0.5184845226176549,309
DW Steyn,2009/10,0.5163672575727105,382
Rashid Khan,2021,0.4955875128507614,343
Shakib Al Hasan,2014,0.49524171743541956,307
AR Patel,2014,0.4798254044726491,403
P Kumar,2009,0.4654954681172967,312
RA Jadeja,2014,0.4621955482289195,332
Yash Dayal,2024,0.4484918210655451,322
SK Warne,2009/10,0.43653351068496704,305
PP Chawla,2023,0.4352442268282175,371
Mohammed Shami,2021,0.43331838864833117,323
M Muralitharan,2009/10,0.4207354234531522,302
B Kumar,2014,0.41601933911442757,303
CV Varun,2024,0.41559628304094076,309
SP Narine,2021,0.39293099474161863,344
YS Chahal,2018,0.3908279687166214,313
CH Morris,2013,0.3681471022136975,309
TA Boult,2024,0.35361140966415405,333
SP Narine,2017,0.3529782295227051,338
Washington Sundar,2020/21,0.34077907822211273,302
MM Patel,2011,0.33984292298555374,329
P Awana,2013,0.3395874919369817,332
PJ Cummins,2024,0.33538514471729286,375
RP Singh,2007/08,0.3237610012292862,325
B Kumar,2013,0.3216844154521823,359
YS Chahal,2014,0.32057397440075874,333
JJ Bumrah,2021,0.32010182552039623,347
Avesh Khan,2021,0.31819572020322084,383
Umran Malik,2022,0.31447234842926264,313
YS Chahal,2023,0.31053720135241747,326
SK Trivedi,2012,0.30670425295829773,324
S Sreesanth,2007/08,0.30212350745568983,310
R Bhatia,2012,0.2995743649371434,323
MJ McClenaghan,2016,0.29237161856144667,332
DS Rathi,2025,0.2913413140922785,321
R Ashwin,2022,0.2807111404836178,419
Yash Dayal,2025,0.27780699636787176,305
YS Chahal,2020/21,0.2702828477777075,348
Harbhajan Singh,2012,0.2647714614868164,335
S Kaul,2018,0.24249427765607834,402
RA Jadeja,2019,0.23135105989058502,326
PWH de Silva,2022,0.22916292119771242,346
Mohammed Siraj,2025,0.22330800164490938,349
Kuldeep Yadav,2023,0.21170149743556976,300
IK Pathan,2013,0.19241959881037474,315
MA Starc,2014,0.1764038037508726,340
MM Patel,2007/08,0.17482908815145493,336
Rashid Khan,2026,0.17427758499979973,348
M Prasidh Krishna,2025,0.17212900426238775,340
SK Trivedi,2007/08,0.1642231261357665,300
Avesh Khan,2022,0.15864859707653522,300
JA Morkel,2012,0.15697564091533422,315
Harbhajan Singh,2015,0.15056660398840904,349
PP Chawla,2012,0.14853912685066462,346
T Natarajan,2024,0.14543955959379673,332
AR Patel,2019,0.14224250335246325,307
L Balaji,2013,0.13843004778027534,311
