bowler,clutch,balls
IC Pandey,-0.5932919653132558,469
P Negi,-0.5988462371751666,733
Harpreet Brar,-0.6061452878639102,869
SJ Srivastava,-0.6219029724888969,306
Washington Sundar,-0.6368494359485339,1186
Mukesh Kumar,-0.6394658917561173,879
AJ Tye,-0.6444109306030441,688
V Nigam,-0.6490653436630964,301
Mohammed Shami,-0.6644329214759637,2944
J Yadav,-0.6684266552329063,392
Arshdeep Singh,-0.6821844586811494,2137
M Ashwin,-0.6848171204328537,884
RR Powar,-0.6914805201813579,411
Mohammad Nabi,-0.7030012840405107,419
JP Faulkner,-0.7207825016230345,1251
WD Parnell,-0.734413824044168,758
R McLaren,-0.7439945843070745,372
PJ Cummins,-0.7487520556314848,1858
N Burger,-0.7558834943920374,383
Pankaj Singh,-0.7567159533500671,311
KA Jamieson,-0.7630480388179421,315
MM Sharma,-0.7675019390590023,2435
Anureet Singh,-0.7865974977612495,430
Akash Madhwal,-0.7943667350045871,376
RP Singh,-0.8129480611532927,1849
Ankit Sharma,-0.8270017355680466,375
DS Kulkarni,-0.8355912491679192,1822
DL Chahar,-0.8414189974137116,2091
S Aravind,-0.8463482623919845,756
Nithish Kumar Reddy,-0.8575093690305948,349
J Suchith,-0.8667944902554154,434
R Parag,-0.8901896774768829,328
C Green,-0.8973177270963788,603
DJ Hussey,-0.9136649146676064,323
JA Morkel,-0.9157300311781,1738
BW Hilfenhaus,-0.917196411639452,390
SR Watson,-0.9189578983932734,2101
S Kaul,-0.9624577248468995,1224
Avesh Khan,-0.9834624538198113,1828
K Rabada,-0.9895624508790206,2386
DJ Hooda,-0.99200448859483,391
CH Gayle,-0.99235834274441,538
CJ Anderson,-1.0126445516943932,315
Suyash Sharma,-1.0272501278668642,810
Prince Yadav,-1.0318475887179375,450
JP Duminy,-1.145974101498723,701
BA Stokes,-1.2601041672751307,703
NLTC Perera,-1.2688371799886227,648
VG Arora,-1.2880448885262012,906
Kartik Tyagi,-1.3261268576607108,775
HV Patel,-1.3703917712555267,2591
Shahbaz Ahmed,-1.4093848504126072,654
I Sharma,-1.417792004533112,2510
BB Sran,-1.4770962073816918,490
T Natarajan,-1.480546290957136,1624
Akash Deep,-1.4960678443312645,302
Arshad Khan,-1.4982929965481162,382
Mukesh Choudhary,-1.526057661511004,512
MS Gony,-1.5283583719283342,895
SM Curran,-1.8116465583443642,1290
DR Smith,-1.8155906042084098,557
HH Pandya,-1.939183970913291,1847
AB Agarkar,-1.9653135342523456,807
Basil Thampi,-1.9994764486327767,539
R Shepherd,-2.0199254946783185,375
AD Russell,-2.1707514375448227,1838
M Prasidh Krishna,-2.191240577987628,1807
AS Rajpoot,-2.3187132654711604,534
AD Mathews,-2.445607841014862,807
KA Pollard,-2.486107565491693,1586
MP Stoinis,-2.5077275586954784,975
DT Christian,-2.5138842100277543,922
JH Kallis,-2.5451505267992616,1774
TU Deshpande,-2.5488476660102606,1164
VR Aaron,-2.6824183659628034,1052
L Balaji,-2.7395927160978317,1487
CJ Jordan,-2.8083864031359553,696
M Jansen,-3.748171590239508,1074
SN Thakur,-4.132556586439023,2330
JD Unadkat,-4.13579019534518,2334
